wpm,ac,r,t,sl,tid,gn,np,pts
144.74,1,1,1644943731.304,L6,3950026,2244,5,103.73
112.1,0.95,4,1644942143.425,L6,4180063,2243,5,72.86
123.32,0.99,1,1644941371.283,L6,3810336,2242,4,135.65
112.62,0.98,1,1644873763.879,L6,582,2241,3,146.4
120.06,0.98,1,1644873234.317,L6,3550077,2240,5,94.04
116.49,0.96,3,1644865541.756,L6,4350366,2239,4,95.13
121.44,0.98,3,1644860198.415,L6,4060250,2238,5,52.63
119.7,0.98,1,1644859714.737,L6,3810961,2237,4,97.75
120.86,0.97,2,1644857086.86,L6,4350056,2236,5,106.76
145.4,1,1,1644857045.301,L6,32,2235,5,104.2
134.18,0.99,2,1644857012.767,L6,3550152,2234,4,127.47
142.12,1,1,1644856968.034,L6,4350576,2233,3,156.33
138.58,0.99,1,1644856258.604,L6,3810052,2232,4,69.29
135.57,1,2,1644856225.463,L6,3640357,2231,2,112.97
148.57,1,1,1644856179.44,L6,3550718,2230,3,118.85
123.27,0.98,1,1644856037.963,L6,318,2229,5,63.69
133.6,0.99,1,1644856000.815,L6,584,2228,5,155.86
116.29,0.98,2,1644855952.628,L6,3641007,2227,2,69.77
129.85,0.99,1,1644854070.811,L6,3550849,2226,5,151.49
133.53,0.99,1,1644801551.061,L6,3640108,2225,5,80.12
132.88,0.99,1,1644602096.201,L6,4060112,2224,5,64.23
127.16,0.98,2,1644601948.343,L6,3622249,2223,5,112.32
122.24,0.97,1,1644601369.95,L6,3641256,2222,5,71.31
107.81,0.97,1,1644601338.574,L6,3640752,2221,5,57.5
135.23,1,1,1644601300.786,L6,3811433,2220,5,108.19
121.81,0.98,2,1644601248.194,L6,3550279,2219,5,107.6
109.7,0.97,1,1644599135.502,L6,3640481,2218,5,80.45
132.56,0.99,1,1644599106.085,L6,3621983,2217,5,97.21
130.77,0.98,2,1644599064.131,L6,3811277,2216,2,148.21
133.95,0.98,1,1644599009.024,L6,4180779,2215,4,149.58
128.35,0.98,1,1644598969.596,L6,3620390,2214,4,98.4
119.68,0.98,1,1644598879.924,L6,3550054,2213,5,107.71
134.3,0.98,1,1644598839.264,L6,4350445,2212,5,82.82
125.63,0.98,1,1644598805.245,L6,3811211,2211,5,119.35
109.37,0.98,3,1644597252.845,L6,3620872,2210,5,85.67
128.14,0.98,1,1644597209.307,L6,3700016,2209,4,153.76
134.1,0.99,1,1644529316.868,L6,4180389,2208,5,96.11
114.76,0.97,2,1644529165.47,L6,3622380,2207,5,91.81
138.07,0.98,1,1644529123.343,L6,3950035,2206,2,80.54
139.62,0.99,1,1644529086.925,L6,3100019,2205,5,146.6
119.37,0.98,1,1644520500.134,L6,3550811,2204,5,123.35
125.21,0.99,1,1644520338.508,L6,3640967,2203,5,135.64
139.79,1,2,1644511624.627,L6,3640357,2202,5,116.49
131.34,0.98,1,1644511472.662,L6,3810606,2201,4,118.2
116.71,0.98,1,1644509996.127,L6,4180270,2200,4,120.6
134.65,0.98,1,1644509660.855,L6,584,2199,5,157.09
118.46,0.98,1,1644446138.008,L6,4060190,2198,4,157.95
116.7,0.98,2,1644444589.529,L6,3950043,2197,5,157.54
122.69,0.98,1,1644443564.919,L6,4180818,2196,5,157.46
128.55,0.99,2,1644443516.506,L6,3550627,2195,5,89.98
118.99,0.97,1,1644441479.537,L6,3620300,2194,5,77.34
120.35,0.99,1,1644429868.53,L6,3620920,2193,4,144.42
122.7,0.98,1,1644429813.487,L6,3622351,2192,5,100.21
117.59,0.98,2,1644429769.928,L6,3620073,2191,5,60.76
119.37,0.97,2,1644429482.267,L6,3640338,2190,5,99.48
130.21,0.99,1,1644428992.399,L6,4180619,2189,4,145.41
119.67,0.97,1,1644428946.422,L6,3550716,2188,5,89.75
126.67,0.98,1,1644427320.817,L6,117,2187,5,149.9
108.89,0.97,1,1644427256.292,L6,272,2186,3,121.59
126.16,0.98,1,1644427197.714,L6,3810844,2185,5,109.34
138.86,0.99,2,1644427156.275,L6,4180289,2184,5,141.18
121.8,0.98,2,1644427111.381,L6,3550179,2183,4,54.81
133.32,0.99,1,1644427075.945,L6,3640648,2182,5,95.55
127.22,0.98,1,1644427037.515,L6,3641011,2181,4,133.58
129.46,0.99,1,1644426810.564,L6,3550078,2180,5,131.62
122.39,0.97,2,1644423332.615,L6,3620414,2179,5,57.11
120.79,0.98,1,1644422787.214,L6,4180862,2178,3,102.67
130.8,0.99,1,1644368386.155,L6,3640410,2177,5,93.74
143.56,0.99,1,1644368348.16,L6,367,2176,5,78.96
129.96,0.98,1,1644368311.8,L6,3641002,2175,5,129.96
125.08,0.99,1,1644368264.871,L6,4060231,2174,5,43.78
134.21,1,1,1644368231.244,L6,4180323,2173,5,98.42
137.5,0.99,2,1644365757.817,L6,4350179,2172,4,84.79
132.48,0.99,1,1644365726.567,L6,3550718,2171,4,105.99
139.31,0.99,1,1644365685.99,L6,3640372,2170,5,92.87
131.39,0.98,2,1644365648.055,L6,3640456,2169,5,111.68
121.18,0.98,2,1644365611.633,L6,505,2168,4,98.96
116.37,0.98,1,1644364334.88,L6,3620461,2167,5,87.28
128.21,0.99,1,1644361494.275,L6,160,2166,4,158.13
126.47,0.99,1,1644360402.413,L6,3640956,2165,2,105.39
116.35,0.98,2,1644358421.096,L6,3550048,2164,5,69.81
123,0.98,2,1644358375.149,L6,3100067,2163,5,63.55
123.76,0.98,1,1644358253.332,L6,3640833,2162,4,121.69
141.38,0.99,1,1644357956.802,L6,3100067,2161,2,73.05
122.7,0.99,1,1644357919.416,L6,3100045,2160,4,202.46
138.77,0.99,1,1644357775.128,L6,3100102,2159,5,85.57
131.31,0.99,1,1644357743.67,L6,3810833,2158,5,111.61
109.73,0.97,2,1644356512.257,L6,3622081,2157,5,62.18
109.44,0.97,1,1644355684.195,L6,4060039,2156,2,94.85
115.81,0.97,1,1644353895.422,L6,3100052,2155,3,115.81
123.8,0.98,1,1644353684.361,L6,4350491,2154,5,86.66
134.53,0.99,1,1644343231.609,L6,3550038,2153,4,139.01
125.99,0.98,1,1644343184.84,L6,4060120,2152,4,128.09
122.02,0.99,1,1644343114.534,L6,88,2151,5,65.08
132.08,0.98,1,1644343055.232,L6,3550849,2150,5,154.09
122.93,0.98,1,1644342996.301,L6,3810511,2149,5,102.45
128.37,0.99,1,1644342941.197,L6,4180651,2148,4,224.64
135.08,0.99,1,1644342826.188,L6,421,2147,3,117.07
113.54,0.97,2,1644342743.674,L6,3810742,2146,5,104.08
122.89,0.98,1,1644342699.178,L6,3810668,2145,5,155.66
132.84,0.99,1,1644342645.123,L6,3550423,2144,5,126.2
141.16,1,1,1644342602.213,L6,3641325,2143,5,84.7
127.1,0.98,2,1644342573.596,L6,3620332,2142,5,135.58
116.75,0.98,2,1644342435.242,L6,3622350,2141,5,64.21
127.69,0.98,1,1644342404.123,L6,218,2140,5,161.74
