wpm,ac,r,t,sl,tid,gn,np,pts
127.4,0.98,1,1641233670.953,L6,4350353,1917,4,140.14
122.17,0.98,1,1641099287.946,L6,4070176,1916,2,89.59
140.33,1,1,1641099178.365,L6,4350128,1915,5,102.91
123.57,0.98,3,1641099126.346,L6,4180614,1914,5,86.5
136.01,0.98,1,1641099071.385,L6,3550279,1913,5,120.14
137.66,0.98,1,1641098114.841,L6,4180277,1912,5,121.6
122.77,0.98,1,1641098066.234,L6,695,1911,5,102.31
130.13,0.99,1,1640816668.881,L6,3640206,1910,5,121.46
130.14,0.99,1,1640816633.05,L6,3551546,1909,5,114.96
123.88,0.98,2,1640816589.883,L6,3622022,1908,5,51.62
113.17,0.98,1,1640816566.644,L6,3950030,1907,5,35.84
145.74,1,1,1640816502.063,L6,3550177,1906,5,51.01
121.21,0.97,2,1640813589.155,L6,3620374,1905,3,60.6
123.02,0.99,2,1640813318.822,L6,3550647,1904,3,71.76
131.59,0.99,4,1640813281.608,L6,3621305,1903,5,92.11
110.9,0.97,1,1640813255.173,L6,4940185,1902,2,162.65
128.18,0.98,1,1639431977.762,L6,3550084,1901,5,106.81
130.6,0.99,2,1639088680.871,L6,3100109,1900,5,87.07
117.88,0.99,1,1638825679.419,L6,3550063,1899,5,49.12
118.89,0.98,2,1638825638.904,L6,4060043,1898,5,118.89
104.42,0.97,1,1638825287.858,L6,210,1897,5,127.05
122.37,0.98,2,1638825232.097,L6,3620691,1896,5,75.46
118.42,0.97,1,1638824827.635,L6,3620711,1895,4,150
115.38,0.97,2,1638824768.702,L6,3621326,1894,5,80.77
125.44,0.98,2,1638824726.508,L6,3550797,1893,5,104.54
127.25,0.99,2,1638824690.148,L6,3550130,1892,5,99.68
119.92,0.97,2,1638824640.306,L6,3100080,1891,5,63.96
102.97,0.97,3,1638824487.98,L6,4350124,1890,5,73.79
123.11,0.98,1,1638674061.705,L6,3640927,1889,5,153.89
111.35,0.97,2,1638673673.173,L6,4350151,1888,3,128.05
115.75,0.97,1,1638673574.246,L6,4060000,1887,5,154.34
121.02,0.99,1,1638673403.982,L6,3621522,1886,3,70.59
121.64,0.97,1,1638551832.361,L6,4180374,1885,5,99.34
134.55,0.99,1,1638484304.9,L6,3621310,1884,5,141.28
105.46,0.98,2,1638461510.338,L6,4350591,1883,4,151.16
115.37,0.98,1,1638401411.45,L6,4180675,1882,3,153.83
120.47,0.96,1,1638398337.717,L6,4070207,1881,5,108.43
126.8,0.98,2,1638390850.21,L6,4180022,1880,5,137.36
135.18,0.99,1,1638291425.4,L6,3620455,1879,5,60.83
121.34,0.95,1,1638290940.448,L6,3621293,1878,5,44.49
117.71,0.97,4,1638219658.703,L6,3621431,1877,5,72.59
104.29,0.96,3,1638219395.981,L6,110,1876,3,60.84
124.19,0.98,4,1638219354.416,L6,4180610,1875,5,74.52
123.34,0.98,1,1637727739.057,L6,4180036,1874,5,84.28
120.01,0.98,1,1637727711.859,L6,3550175,1873,5,150.01
113.36,0.98,1,1637346740.268,L6,3621642,1872,5,102.03
120.99,0.98,1,1637343315.147,L6,3622319,1871,5,98.81
114.75,0.96,1,1637343280.544,L6,4180843,1870,4,162.56
116.86,0.98,1,1637343162.466,L6,3810243,1869,4,114.91
147.47,1,1,1637342889.302,L6,3622346,1868,5,73.73
135.6,1,1,1637342847.464,L6,41,1867,5,85.88
107.11,0.97,1,1637342810.591,L6,3550020,1866,5,55.34
126.74,0.97,1,1637342773.346,L6,4180639,1865,5,69.71
121.08,0.97,1,1637341901.737,L6,3640371,1864,4,58.52
101.62,0.97,3,1637123229.96,L6,4180145,1863,5,77.91
115.67,0.98,1,1637079267.755,L6,3550862,1862,5,65.54
100.36,0.96,4,1637026961.489,L6,3640481,1861,5,73.6
120.32,0.97,1,1636562767.244,L6,3641247,1860,5,96.26
131.91,0.98,1,1636494889.62,L6,176,1859,5,103.33
130.74,0.99,1,1636407668.577,L6,419,1858,4,146
124.57,0.99,1,1636407572.743,L6,3640308,1857,5,85.12
116.16,0.97,2,1636407381.309,L6,3621779,1856,5,87.12
133.89,0.98,1,1636407312.811,L6,4180192,1855,5,131.66
119.3,0.97,3,1636406972.716,L6,3811436,1854,4,93.45
100.6,0.93,3,1635801735.557,L6,3810896,1853,5,73.77
126.99,0.98,2,1635801692.261,L6,4350287,1852,4,165.08
105.34,0.96,3,1635718903.485,L6,3810681,1851,4,93.05
128.13,0.98,1,1635696471.163,L6,102,1850,5,123.86
127.09,0.98,2,1635622038.903,L6,3622406,1849,5,114.38
137.58,0.99,1,1635528391.966,L6,178,1848,4,114.65
129.42,0.99,2,1635450741.641,L6,3620320,1847,4,79.81
115.56,0.97,2,1635363328.245,L6,4180481,1846,5,159.85
119.31,0.97,1,1635349928.598,L6,3622432,1845,4,145.16
125.17,0.98,1,1635279267.828,L6,3621635,1844,4,127.25
145.49,1,1,1635279184.511,L6,3811328,1843,5,89.72
123.37,0.98,1,1635279141.855,L6,293,1842,5,80.19
124.45,0.98,2,1635279102.589,L6,3641153,1841,5,120.3
131.17,0.99,2,1635111015.718,L6,4350691,1840,4,113.68
111.67,0.96,1,1635110976.058,L6,3620495,1839,4,89.33
107.26,0.97,2,1635107562.372,L6,3621764,1838,5,73.29
126.27,0.98,1,1635107521.778,L6,3640395,1837,5,63.13
132,0.99,1,1635107224.655,L6,3621550,1836,5,90.2
129.38,0.99,2,1634935849.88,L6,3810622,1835,5,157.42
123.23,0.98,1,1634935751.14,L6,4350168,1834,3,115.02
113.53,0.97,1,1634935659.076,L6,4180084,1833,5,105.96
131.55,0.98,1,1634935613.784,L6,3810246,1832,5,76.74
133.16,0.99,1,1634935568.394,L6,3641427,1831,4,95.43
106.89,0.94,1,1634935535.471,L6,4940201,1830,5,64.13
127.99,0.99,2,1634850472.793,L6,3640281,1829,3,96
131.63,0.98,1,1634760324.973,L6,3622299,1828,4,149.18
126.22,0.98,1,1634760239.698,L6,3620455,1827,1,56.8
142.65,0.99,2,1634756161.8,L6,3811056,1826,5,185.44
120.51,0.98,1,1634756118.278,L6,3550164,1825,5,70.3
128.89,0.98,1,1634756081.425,L6,3551605,1824,5,103.11
123.96,0.98,2,1634592235.072,L6,65,1823,4,76.44
135.25,0.99,1,1634592200.392,L6,3622442,1822,3,67.63
146.41,1,1,1634590516.503,L6,3640958,1821,4,122.01
125.54,0.98,2,1634590441.201,L6,3620685,1820,5,119.27
121.96,0.98,1,1634244068.991,L6,4180458,1819,5,52.85
115.47,0.97,3,1634244039.859,L6,3621100,1818,5,107.78
117.61,0.98,1,1633386037.934,L6,4180146,1817,5,84.29
125.87,0.96,3,1633109269.193,L6,3640446,1816,5,79.72
124.43,0.98,1,1632871158.547,L6,4180483,1815,4,107.84
121.08,0.98,1,1632842681.987,L6,4350144,1814,3,86.77
131.51,0.96,2,1632778937.574,L6,4070125,1813,5,78.9
101.37,0.94,1,1632508445.456,L6,296,1812,5,57.44
126.3,0.99,1,1632424997.548,L6,3620015,1811,4,103.14
128.82,0.99,1,1632424941.651,L6,3640564,1810,5,115.94
122.54,0.98,3,1632420872.481,L6,3811072,1809,4,202.2
116.38,0.98,1,1632416140.678,L6,4350280,1808,5,108.62
128.65,0.99,1,1632416093.645,L6,3621445,1807,5,79.33
126.53,0.98,3,1632410023.335,L6,3811311,1806,4,120.2
120.17,0.98,1,1632409985.977,L6,4180254,1805,4,192.27
129.82,0.99,1,1632362037.778,L6,3640788,1804,5,75.73
127.79,0.98,2,1631223693.498,L6,4180023,1803,5,76.67
113.31,0.98,1,1631198877.082,L6,3622269,1802,4,79.32
110.57,0.96,3,1631129788.154,L6,305,1801,5,123.46
120.53,0.99,1,1631120993.289,L6,3621328,1800,5,58.26
117.05,0.99,1,1631117994.269,L6,75,1799,5,64.38
135.85,0.98,2,1631117943.29,L6,3550449,1798,4,99.62
116.9,0.97,1,1631117857.023,L6,3550272,1797,5,85.73
118.32,0.98,2,1631049254.123,L6,3622399,1796,5,126.21
129.48,0.99,1,1631029942.963,L6,377,1795,4,168.33
132.34,0.99,2,1630874104.059,L6,4180756,1794,3,28.67
133.13,1,1,1630874030.863,L6,4060258,1793,2,95.41
114.17,0.98,1,1630873996.971,L6,206,1792,4,108.46
119.57,0.98,1,1630873932.483,L6,3550211,1791,3,65.76
119.59,0.99,1,1630873888.507,L6,194,1790,5,101.65
112.36,0.98,1,1630873841.859,L6,3621236,1789,5,80.52
120.67,0.98,1,1630873793.574,L6,3620742,1788,5,76.42
106.6,0.97,1,1630873753.759,L6,3640521,1787,5,95.94
129.25,0.98,1,1630778642.811,L6,4180294,1786,5,81.86
128.86,0.98,1,1630682375.444,L6,546,1785,5,77.32
117.44,0.97,1,1630682334.888,L6,3620264,1784,3,62.63
123.29,0.98,1,1630682306.698,L6,3100021,1783,4,125.34
112.08,0.98,1,1630682259.168,L6,3622333,1782,3,87.8
132.55,1,1,1630682208.86,L6,4180714,1781,5,79.53
115.11,0.98,2,1630682177.458,L6,3640176,1780,4,113.2
130.42,0.99,1,1630682111.636,L6,3550048,1779,5,78.25
125.34,0.98,1,1630682064.41,L6,3550049,1778,5,66.85
116.42,0.98,1,1630682032.313,L6,4350391,1777,4,131.95
132.48,0.99,1,1630617839.597,L6,3622431,1776,5,94.94
124.05,0.98,1,1624467667.021,L6,3811075,1775,5,153
134.73,0.99,1,1624467601.58,L6,3810183,1774,5,94.31
135.16,0.99,1,1624467416.915,L6,3810052,1773,5,67.58
129.09,0.98,3,1624467384.433,L6,3811368,1772,5,79.6
128.14,0.97,1,1623781424.759,L6,3100071,1771,4,93.97
127.71,1,1,1623426894.71,L6,301,1770,5,87.27
113.18,0.99,2,1623426110.697,L6,4180782,1769,5,77.34
131.09,1,1,1623426019.202,L6,3620456,1768,5,80.84
113.86,0.99,1,1623425969.928,L6,4350307,1767,4,157.51
111.17,0.98,1,1623425897.771,L6,55,1766,5,105.62
122.23,0.97,1,1623090574.456,L6,4180397,1765,5,63.15
131.67,0.99,1,1623090492.317,L6,4180662,1764,3,162.39
113.39,0.97,1,1623090448.601,L6,4350533,1763,5,113.39
102.03,0.96,2,1623090398.067,L6,3622201,1762,3,102.03
107.26,0.97,3,1623084243.257,L6,3621383,1761,5,58.99
115.98,0.99,1,1623084211.773,L6,3621844,1760,5,69.59
120.3,0.98,2,1623084165.842,L6,3620960,1759,4,128.32
121.45,0.99,1,1623084116.794,L6,3811433,1758,3,97.16
124.16,0.98,3,1623084075.025,L6,3640461,1757,5,35.18
134.23,1,1,1623084028.63,L6,732,1756,4,98.44
132.23,0.99,1,1620840095.286,L6,3810657,1755,3,191.73
135.75,0.99,1,1620839993.254,L6,4350214,1754,5,92.76
109.34,0.98,1,1620837782.784,L6,3622238,1753,5,103.87
115.36,0.98,1,1620677805.072,L6,3640410,1752,5,82.68
116.1,0.97,2,1620677764.896,L6,3621152,1751,5,87.07
112.76,0.98,2,1620677707.785,L6,446,1750,5,78.93
118.05,0.98,1,1620676718.807,L6,3810136,1749,5,137.72
123.94,0.99,1,1620402879.193,L6,1820000,1748,5,80.56
124.68,0.99,2,1619724959.435,L6,4350183,1747,3,263.91
124.65,0.99,2,1619715795.887,L6,33,1746,5,68.56
99.85,0.98,2,1619641404.876,L6,3950001,1745,5,83.21
109.05,0.98,3,1619641069.246,L6,4180255,1744,4,105.42
98.56,0.98,1,1619641017.739,L6,4070283,1743,3,62.42
119.25,0.96,1,1619583240.81,L6,241,1742,5,95.4
123.66,0.99,2,1619583202.015,L6,211,1741,5,109.23
129.15,0.99,4,1619374769.323,L6,3641056,1740,5,135.61
115.63,0.98,2,1619213974.607,L6,3550022,1739,5,69.38
105.42,0.98,1,1619213941.282,L6,4180680,1738,5,86.09
139.45,0.99,2,1619213886.065,L6,3621393,1737,5,90.64
141.53,1,1,1619213539.919,L6,4180777,1736,5,92
121.67,0.98,1,1619213433.256,L6,3641056,1735,5,127.75
114.59,0.99,1,1619213224.794,L6,3640257,1734,5,57.3
85.01,0.95,4,1619213190.233,L6,3100026,1733,5,42.5
110.77,0.98,1,1619199070.951,L5,3100099,1732,4,136.62
109.18,0.98,1,1619199004.846,L6,4180150,1731,5,69.15
120.42,0.99,1,1619198951.191,L6,3550095,1730,5,90.31
115.12,0.97,2,1619126102.961,L6,3550710,1729,5,90.18
108.45,0.98,1,1619126061.573,L6,4180062,1728,5,77.72
90.1,0.96,2,1619126026.419,L6,525,1727,5,55.56
98.84,0.97,3,1619125939.155,L6,3620143,1726,4,59.3
131.67,0.99,3,1619125868.084,L6,3620401,1725,4,50.47
131.48,1,2,1619125845.08,L6,128,1724,5,83.27
103.07,0.96,2,1619125806.115,L6,4180203,1723,5,97.92
128.98,0.97,1,1619125711.592,L6,4350563,1722,5,128.98
123.26,0.99,1,1619034882.276,L6,4070087,1721,4,162.3
125.34,0.99,1,1619017820.478,L6,3622386,1720,3,160.86
114.96,0.99,2,1618947646.223,L6,4350290,1719,5,147.53
114.89,0.98,2,1617915483.802,L6,323,1718,5,80.43
111.41,0.97,2,1617852099.745,L6,3811009,1717,5,142.97
114.21,0.98,1,1617852019.434,L6,106,1716,4,81.85
110.45,0.95,1,1617851979.203,L6,3622253,1715,3,73.64
98.35,0.96,3,1617766739.078,L6,96,1714,4,73.77
133.65,0.99,1,1617751629.676,L6,3621393,1713,5,86.87
113.37,0.99,1,1617645825.971,L6,4350290,1712,4,145.5
112.09,0.98,2,1617554498.675,L6,3620960,1711,5,119.56
131.65,0.99,2,1617554448.577,L6,3620602,1710,5,81.18
118.03,0.98,2,1617554416.823,L6,4350500,1709,4,88.52
116.41,0.98,1,1617554368.412,L6,3810381,1708,5,97.01
116.38,0.99,1,1617554328.016,L6,3100084,1707,5,137.72
114.16,0.98,2,1617554251.228,L6,3100090,1706,5,81.81
118.28,0.98,1,1617554215.364,L6,3550311,1705,5,72.94
107.58,0.97,1,1617554179.761,L6,3100006,1704,4,77.1
122.07,0.99,1,1617554127.38,L6,3641050,1703,5,85.45
117.78,0.98,1,1617554039.961,L6,149,1702,5,139.37
120.74,0.99,1,1617553984.457,L6,3550284,1701,5,72.44
122.14,0.99,2,1617432099.028,L6,266,1700,5,87.53
116.3,0.98,3,1617432063.559,L6,4180040,1699,5,54.27
114.62,0.97,1,1617208192.968,L5,224,1698,5,84.05
121.62,0.99,1,1617208142.141,L6,3810905,1697,4,174.32
112.24,0.99,2,1616369714.233,L6,3550066,1696,4,110.37
117.93,0.99,1,1616271174.434,L6,769,1695,5,115.96
116.58,0.98,1,1616271115.852,L6,3640336,1694,5,91.32
109.77,0.97,2,1616204525.483,L6,3550160,1693,5,62.2
121.4,0.99,1,1614889886.182,L6,3550176,1692,5,145.68
97.07,0.97,3,1613081435.679,L6,321,1691,5,67.95
117.38,0.99,1,1612991967.228,L6,695,1690,5,97.82
92.94,0.97,2,1611333175.176,L6,3810703,1689,5,68.15
114.19,0.98,1,1611164133.533,L6,4060216,1688,4,154.16
113.47,0.99,3,1610416944.585,L6,3640345,1687,5,49.17
103.23,0.96,2,1610390715.11,L6,3620397,1686,3,67.1
109.8,0.99,1,1610131068.31,L6,3100094,1685,4,82.35
111.79,0.99,2,1610130974.2,L6,3550161,1684,5,87.57
117.03,1,4,1609974651.083,L6,561,1683,5,97.53
106.49,0.98,1,1609304084.488,L6,3100021,1682,5,108.27
104.66,0.98,1,1608309151.786,L6,3550376,1681,5,113.38
112.35,1,1,1607638532.073,L6,4180668,1680,5,146.05
111.39,0.99,1,1607638451.781,L6,3640998,1679,5,72.4
115.02,0.98,1,1607488731.403,L6,3620034,1678,5,134.19
101.68,0.98,2,1607465233.17,L6,3810402,1677,5,115.23
102.61,0.98,3,1607465147.321,L6,3811418,1676,4,97.48
69.41,0.97,5,1607465076.147,L6,4060037,1675,5,38.18
107.11,0.99,1,1607448628.267,L6,687,1674,5,85.69
112.36,0.99,1,1607400828.839,L6,3620151,1673,5,97.38
94.4,0.98,1,1607400775.298,L6,3641328,1672,3,173.08
118.72,0.99,2,1607400619.95,L6,3620861,1671,5,94.98
90.24,0.97,1,1607132490.131,L6,3810471,1670,1,90.24
113.24,0.99,2,1607132428.877,L6,3620450,1669,5,88.71
124.49,0.99,3,1607132367.569,L6,3640147,1668,5,87.14
113.8,0.99,1,1607132293.841,L6,4060100,1667,3,89.14
109.97,0.98,1,1607132254.322,L6,3810102,1666,5,111.8
117.99,0.99,3,1607132191.786,L6,3810384,1665,4,98.33
107.61,0.98,2,1607132152.436,L6,3810707,1664,5,100.43
120.08,1,3,1607132100.228,L6,3641068,1663,5,174.11
109.05,0.99,1,1607132016.559,L6,3620336,1662,4,116.32
127.61,1,1,1607131818.482,L6,3810606,1661,5,114.85
115.02,0.99,1,1607131727.294,L6,3641102,1660,5,164.86
113.82,0.97,2,1607131591.621,L6,3622365,1659,5,89.16
114.94,0.99,2,1607131548.404,L6,4070230,1658,5,99.62
98.01,0.99,2,1607131501.501,L6,3810493,1657,5,115.98
114.63,1,2,1607114573.212,L6,3640368,1656,3,78.33
101.06,0.98,1,1607114537.745,L6,49,1655,4,79.16
128.61,0.99,1,1607048747.919,L6,3621165,1654,5,62.16
98.2,0.98,4,1607048657.84,L6,3810538,1653,5,81.83
98.22,0.98,3,1605138681.762,L6,3621118,1652,5,45.84
100.99,0.97,1,1604434559.317,L6,129,1651,4,119.5
111.08,0.97,1,1603394373.772,L6,361,1650,5,105.52
110.04,0.98,1,1603310971.186,L6,3640358,1649,5,99.03
110.79,0.98,2,1603213377.709,L6,3550710,1648,5,86.79
112.09,0.98,1,1603042789.86,L6,139,1647,5,74.73
123.06,0.99,2,1602971312.326,L6,4180730,1646,5,96.4
116.84,0.99,4,1602875056.791,L6,3622437,1645,5,179.16
98.89,0.96,1,1602732769.453,L6,4060029,1644,4,145.03
113.46,0.99,3,1602625659.973,L6,3811240,1643,4,83.2
110.53,0.99,3,1602625620.909,L6,4350151,1642,4,127.11
104.26,0.97,2,1602624694.755,L6,3550448,1641,3,85.15
97.8,0.97,2,1602527591.979,L6,3640570,1640,5,104.32
110.92,0.99,3,1602101050.637,L6,164,1639,5,86.89
111.25,0.98,1,1601748658.587,L6,3620712,1638,5,90.86
113.01,0.97,1,1601748600.237,L6,3950002,1637,4,86.64
124.35,0.99,2,1601703062.177,L6,3550051,1636,3,55.96
107.33,0.98,1,1601669715.621,L6,4060226,1635,4,46.51
107.93,0.97,3,1601669669.637,L6,3550072,1634,5,79.15
112.62,0.98,1,1601669621.274,L6,4350347,1633,3,99.48
114.24,0.98,1,1601669559.632,L6,3811348,1632,5,133.27
123.14,0.99,2,1601669499.687,L6,3550282,1631,5,108.78
109.62,0.97,1,1601669406.714,L6,4060029,1630,5,160.78
122.03,0.99,1,1601669332.372,L6,3811242,1629,3,93.55
100.32,0.96,3,1601669184.909,L6,3621292,1628,4,61.86
117.68,0.98,1,1601669106.713,L6,4350380,1627,5,139.25
124.68,0.99,2,1601669044.121,L6,4070259,1626,5,89.35
112.86,0.96,2,1601668961.537,L6,3641016,1625,5,63.95
109.07,0.98,1,1601668877.517,L6,3811030,1624,4,110.89
105.44,0.98,1,1601569170.402,L6,3811147,1623,5,63.27
112.02,0.99,2,1601507656.928,L6,3641114,1622,3,82.15
103.98,0.98,2,1601507577.951,L6,4350235,1621,5,175.03
111.04,0.99,3,1601507491.272,L6,3810600,1620,5,105.49
115.48,0.98,2,1601507424.822,L6,3550779,1619,5,69.29
106.3,0.97,1,1601413381.377,L6,4180244,1618,5,81.5
107.84,0.98,3,1601313716.368,L6,3100044,1617,5,52.12
114.37,0.98,1,1601253287.891,L6,3620034,1616,4,133.43
115.88,0.99,1,1600977717.329,L6,3621540,1615,4,100.43
121.59,0.99,1,1600977649.266,L6,3550117,1614,5,70.92
110.74,0.99,1,1600964388.077,L6,3622341,1613,3,73.83
100.92,0.99,3,1600892340.41,L6,3640833,1612,5,99.24
121.77,0.99,2,1600705762.83,L6,3622235,1611,5,188.74
111.36,0.99,1,1600450815.103,L6,3810928,1610,5,107.65
114.02,0.98,2,1600449646.071,L6,419,1609,5,127.32
95.24,0.98,3,1600376167.761,L6,3620886,1608,5,50.79
118.85,0.98,1,1600375153.331,L6,3550246,1607,5,122.81
83.94,0.98,2,1600374756.3,L6,430,1606,4,85.34
110.13,0.98,2,1600374439.346,L6,3641125,1605,4,99.12
115.67,0.98,2,1600374398.704,L6,3810645,1604,5,69.4
108.38,0.99,3,1600373264.429,L6,3810619,1603,5,74.06
99.94,0.97,2,1600366682.331,L6,3622089,1602,3,38.31
108.29,0.98,1,1600361975.257,L6,4070258,1601,5,77.61
94,0.97,2,1600361428.405,L6,59,1600,5,50.13
112.61,0.98,1,1600361367.879,L6,3100074,1599,5,133.26
111,0.99,2,1600361222.859,L6,4070160,1598,5,72.15
114.47,0.99,1,1600361171.763,L6,4180145,1597,5,87.76
110.4,0.99,4,1600358501.329,L6,4060017,1596,5,86.48
110.91,0.99,2,1600358357.499,L6,3621292,1595,5,68.39
111.98,0.99,1,1600291610.855,L6,4180031,1594,5,82.12
117.41,0.98,1,1600289837.907,L6,3550792,1593,5,80.23
111.83,0.99,1,1600289796.314,L6,3810887,1592,2,50.33
117.05,0.99,1,1600289708.166,L6,3640184,1591,5,89.74
116.29,0.99,1,1600289669.686,L6,3550350,1590,5,106.6
98.45,0.95,3,1600289580.431,L6,3550789,1589,3,80.4
105.69,0.98,1,1600288824.378,L6,67,1588,5,118.02
104.15,0.98,2,1600279054.658,L6,3810011,1587,5,78.11
115.1,0.96,2,1600278959.323,L6,3620904,1586,5,59.47
124.24,1,1,1600278780.003,L6,3810994,1585,5,93.18
95.86,0.97,5,1600273626.832,L6,3811206,1584,5,91.07
109.11,0.98,1,1600273572.004,L6,3641138,1583,5,78.19
101.44,0.96,2,1600117021.889,L6,3811456,1582,5,131.88
124.07,1,1,1600116944.139,L6,3100027,1581,5,95.12
94.73,0.96,1,1600104181.02,L6,3620426,1580,5,82.1
104.86,0.98,3,1600057806.652,L6,3810096,1579,5,69.91
107.53,0.98,2,1600057730.607,L6,4350591,1578,5,154.12
109.59,0.99,1,1600020113.949,L6,3811344,1577,5,120.55
97.13,0.98,2,1599840602.59,L5,3640463,1576,5,67.99
95.6,0.96,1,1599839165.901,L6,3950058,1575,5,74.89
98.74,0.95,5,1599768080.971,L6,3550120,1574,5,36.21
110.52,0.99,1,1599759037.159,L6,3810962,1573,5,95.79
118.01,1,1,1599758973.029,L6,3100054,1572,4,39.34
115.51,0.99,1,1599755790.511,L6,3551157,1571,5,50.05
92.62,0.97,3,1599755721.772,L6,4180182,1570,5,114.23
115.22,0.99,1,1599755631.494,L6,3810105,1569,5,170.91
117.59,0.99,1,1599594196.112,L6,3640458,1568,5,72.51
105.85,0.98,2,1599582050.665,L6,3550101,1567,5,67.04
117.22,0.99,1,1599582008.935,L5,4180066,1566,5,125.04
117.26,1,1,1599171212.371,L6,3640329,1565,5,95.76
105.65,0.97,1,1599171175.077,L6,4180063,1564,3,68.67
103.04,0.98,2,1599165803.333,L6,4180104,1563,5,77.28
122.68,0.99,1,1599106469.639,L6,3640626,1562,5,159.49
112.87,0.98,1,1599067299.404,L6,3100032,1561,5,126.04
112.54,0.97,2,1598998782.26,L6,3640201,1560,5,75.03
116.31,0.99,1,1598998714.339,L6,3100007,1559,5,120.19
115.93,0.99,2,1598931432.862,L6,4070103,1558,3,83.08
102.44,0.98,4,1598903468.26,L6,4180097,1557,4,150.25
101.54,0.98,3,1598897769.171,L6,3811328,1556,4,62.62
102.86,0.98,1,1598894721.785,L6,4180821,1555,5,94.29
95.01,0.97,4,1598828203.652,L6,4180355,1554,4,120.35
112.43,0.97,3,1598590840.09,L6,4180043,1553,5,88.07
125.94,0.99,3,1598560593.558,L6,4180197,1552,5,161.62
115.72,0.99,2,1598478347.17,L6,3810943,1551,4,104.15
131.32,1,1,1598478221.499,L6,3550613,1550,5,85.36
103,0.98,1,1598478145.006,L6,3640234,1549,4,113.3
125.37,1,1,1598457721.046,L6,3810402,1548,5,142.09
115.8,1,1,1598372747.872,L6,3811389,1547,5,106.15
106.67,0.98,2,1598372597.693,L6,3810375,1546,5,108.44
119.92,0.99,2,1598372551.222,L6,4180018,1545,3,61.96
113.58,1,1,1598372314.882,L6,3810758,1544,3,102.23
121.41,0.99,1,1598372109.058,L6,480,1543,5,89.03
126.36,1,4,1598302103.404,L6,649,1542,4,109.52
103.94,0.98,1,1598288771.964,L6,4060139,1541,4,74.49
96.27,0.96,2,1598223378.117,L6,3550734,1540,5,40.11
125.71,0.98,2,1598223315.118,L6,4180001,1539,5,81.71
92.23,0.96,1,1597955087.77,L5,3640166,1538,5,50.73
104.41,0.98,2,1597955019.728,L6,3641174,1537,5,69.61
107.33,0.97,1,1597954959.114,L6,661,1536,4,152.05
109.78,0.99,2,1597886728.417,L6,3810285,1535,5,100.63
117.05,0.98,1,1597886391.541,L6,3810681,1534,3,103.4
102.99,0.97,4,1597779526.266,L6,3640298,1533,5,132.17
105.55,0.98,3,1597603823.613,L6,3622191,1532,3,56.3
125.95,0.99,3,1597603685.724,L6,3622427,1531,5,65.08
108.11,0.98,2,1597603605.736,L6,4070248,1530,2,190.99
117.88,0.99,2,1597603465.49,L6,4180516,1529,3,84.48
112.63,1,2,1597515533.356,L6,3810353,1528,5,67.58
115.54,0.99,2,1597515479.361,L6,4060034,1527,5,107.83
115.38,0.99,3,1597285373.91,L6,3810381,1526,4,96.15
111.7,0.98,1,1596237613.873,L6,3550001,1525,5,102.39
116.04,0.99,1,1593541764.731,L6,548,1524,4,75.43
95.88,0.95,3,1593477923.407,L6,3620904,1523,4,49.54
94.49,0.96,2,1593474601.35,L6,3950026,1522,5,67.72
112.07,0.97,4,1593474560.078,L6,3622460,1521,5,69.11
119.21,0.99,1,1593369782.132,L6,3621385,1520,4,57.62
110.52,0.98,1,1592691431.105,L5,3810572,1519,5,180.51
104.25,0.98,2,1592691344.248,L6,3640087,1518,3,139
120.79,0.99,2,1592691245.609,L6,3640782,1517,2,153
112.1,0.98,1,1592605232.24,L6,486,1516,4,56.05
117.69,0.99,4,1592592590.709,L6,3700016,1515,5,141.22
113.54,0.98,1,1592592512.261,L6,3640924,1514,5,102.19
109.28,0.99,1,1592592469.053,L6,3640968,1513,5,76.5
97.46,0.97,1,1592260049.689,L6,3641032,1512,5,73.1
95.55,0.97,2,1591983045.788,L5,3810015,1511,4,79.62
112.68,0.98,3,1591853897.224,L6,116,1510,5,92.02
114.38,0.98,2,1591853842.875,L6,3620269,1509,4,68.63
129.3,0.99,1,1591853787.383,L6,3621293,1508,5,47.41
113.14,0.99,1,1591848960.701,L6,4180272,1507,4,98.06
98.84,0.97,4,1591764430.895,L6,4180087,1506,5,98.84
101.94,0.96,2,1591746389.149,L6,3550460,1505,3,107.03
103.58,0.98,3,1591746312.049,L6,3641419,1504,5,124.29
107.63,0.97,2,1591308360.194,L6,3811190,1503,5,80.72
117.63,0.99,1,1591308282.713,L6,3640593,1502,5,98.02
89.96,0.97,2,1591307962.868,L6,3550606,1501,4,85.46
100.04,0.97,3,1591210870.505,L6,4180573,1500,5,78.36
104.73,0.98,2,1591210797.491,L6,3811388,1499,5,62.84
107.7,0.98,3,1590775214.537,L6,4060045,1498,4,226.17
108.13,0.98,4,1590610751.038,L6,3622297,1497,5,57.67
119.47,0.99,2,1590088143.986,L6,3620048,1496,2,101.55
118.04,0.99,1,1590088084.717,L6,3810830,1495,5,60.99
109.01,0.98,2,1590088053.522,L6,4070180,1494,5,63.59
112.57,0.99,3,1590087986.609,L6,3640147,1493,5,78.8
97,0.97,2,1589996986.93,L6,3641045,1492,5,63.05
111.79,0.99,1,1589410606.582,L6,3620295,1491,5,130.43
113.51,0.98,1,1589304293.514,L6,511,1490,5,85.13
114.72,0.99,1,1589214307.846,L6,4180323,1489,3,84.13
